"franchise_id","franchise_name","user_name","user_id"
11,"Go Oilers","Ben_69","710234409659367424"
12,"The League's Farm System","aldo216","650148989739569152"
1,"ObiWanGenobi","ObiWanGenobi","387309075383406592"
2,"aldo216","aldo216","650148989739569152"
3,"It Hurts to Waddle","Domination187","650180407031074816"
4,"Bhart324","Bhart324","475653939723759616"
5,"CamelJoe","CamelJoe","656706154520489984"
6,"6 pt 0 tep 160 big ones","COPE89","467180665419329536"
7,"Aclayton11","Aclayton11","409226179896156160"
8,"No Playoff Lenny","filifresh","539588205441425408"
9,"$160 dynasty","aambossman","471739206356430848"
10,"Mayor of Starkville","Kleeve","599689235703853056"
11,"💸160💸","IamKayserSoze","442736314064826368"
12,"PutTheKittleOn","MattUK49er","649412049675333632"
1,"Most Significant BIT","bitbanger","595743935301750784"
2,"BITter Sweet Symphony","aldo216","650148989739569152"
3,"The Blockchain Gang","HolyTequila7","657413050508333056"
4,"A Bit of Karnage","karnage976","655956269110239232"
5,"BTC ❌= Crypto BTC4EVA","1WokeUpDangerous","435800650018713600"
6,"TRON Empire","BigBuck777","657348135777046528"
7,"BIT(ter) Business Bureau ","DWilliams","331873497661837312"
8,"ACL Rehab Clinic","Prophet93","668380196587536384"
9,"Lake Michigan Miners","ajmuzzin","442746249074962432"
10,"DoubleTap 💀","DoubleTap7798","673058459607990272"
11,"No Cooks in the Kitchen ","MrB0603","683239452306407424"
12,"Hodl on BTC 10 sats 1st🌕","agrakush","465934519652839424"
13,"Smells Like BITch In Here","ZUCommish","434004306945896448"
14,"LASER EYES NATION 🚩","MadMattE","578416585492975616"
1,"Kiss My McManus","PBAndJabes","72852810211147776"
2,"Civil Life","AndyPasta","443945423879532544"
3,"Mighty Ducks","Maxandcheese43","657312663994478592"
4,"Heelsfan","Heelsfan","407683078543134720"
5,"jprnchrist","jprnchrist","435299447539232768"
6,"I <3 ETN Boutte","Sl1ckw1lly","786790297035235328"
7,"Alcohooligans","Alcohooligans","520718513207615488"
8,"aldo216","aldo216","650148989739569152"
9,"Lovejoy - Rampage 🍻 ","Rampage46","518986861634473984"
10,"Pimpleton my ride","christopolees","539891748719095808"
11,"Citra A$$ Down","TeamHalvorsen","518555310594179072"
12,"Jbrill123","Jbrill123","520811449333972992"
1,"aldo216","aldo216","650148989739569152"
2,"mufasa007","mufasa007","738116752151568384"
3,"Step Burrow, im stuck ","DrManhattan","575883060105572352"
4,"NoAcl","NoAcl","338121572172693504"
